pid,ppid,name,exe,user,rss_mb,cpu_percent,cmdline,start_time,sha256,vt_malicious,vt_suspicious,vt_harmless,vms_mb,num_memory_maps,private_writable_regions,executable_writable_regions,memory_anomaly_score,memory_flag,threat_score,threat_level,triggered_rules
44768,20224,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,CERUS\Cerus,820.19,0.0,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=233 --time-ticks-at-unix-epoch=-1772583110005670 --launch-time-ticks=104648043358 --metrics-shmem-handle=5504,i,5986890851635913602,2285625730449769321,2097152 --field-trial-handle=1980,i,9464145493303808769,15672437013739108079,262144 --variations-seed-version=20260303-131140.536000-production --trace-process-track-uuid=3190709204642622311 --mojo-platform-channel-handle=15120 /prefetch:1",2026-03-04 22:15:57,37b8680ea07da14f25ad4c4af017dc5fe62397485aee8638a678afe434df30bb,,,,,,,,,N/A,0,SAFE,[]
16036,47904,Code.exe,C:\Users\Cerus\AppData\Local\Programs\Microsoft VS Code\Code.exe,CERUS\Cerus,648.94,0.0,C:\Users\Cerus\AppData\Local\Programs\Microsoft VS Code\Code.exe c:\Users\Cerus\.vscode\extensions\ms-python.vscode-pylance-2026.1.1\dist\server.bundle.js --cancellationReceive=file:d7debcde10bcf423b9d3921691bcd0ac81444d305a --node-ipc --clientProcessId=47904,2026-03-04 22:09:36,da81fd0fd31af2c3d3e85d9e5cf5c92c97fab7cfc9849b7e2d7cd56cdb326d6c,,,,,,,,,N/A,0,SAFE,[]
47904,21956,Code.exe,C:\Users\Cerus\AppData\Local\Programs\Microsoft VS Code\Code.exe,CERUS\Cerus,592.04,0.0,"C:\Users\Cerus\AppData\Local\Programs\Microsoft VS Code\Code.exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=C:\Users\Cerus\AppData\Roaming\Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1792,i,14770886777578353732,14605763943590985674,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=3676 /prefetch:14",2026-03-04 22:09:33,da81fd0fd31af2c3d3e85d9e5cf5c92c97fab7cfc9849b7e2d7cd56cdb326d6c,,,,,,,,,N/A,0,SAFE,[]
20224,1412,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,CERUS\Cerus,567.6,0.0,C:\Program Files\Google\Chrome\Application\chrome.exe --no-startup-window /prefetch:5,2026-03-04 21:48:08,37b8680ea07da14f25ad4c4af017dc5fe62397485aee8638a678afe434df30bb,,,,,,,,,N/A,0,SAFE,[]
41264,47904,sourcery.exe,C:\Users\Cerus\.vscode\extensions\sourcery.sourcery-1.43.0-win32-x64\sourcery_binaries\install\win\sourcery.exe,CERUS\Cerus,549.51,0.0,c:\Users\Cerus\.vscode\extensions\sourcery.sourcery-1.43.0-win32-x64\sourcery_binaries\install\win\sourcery.exe lsp,2026-03-04 22:09:35,20e88f6413f70ebac46ae208e79f3a25f76a6f3e5a5e0d021b89ac1d50aa8216,,,,,,,,,N/A,0,SAFE,[]
18060,20224,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,CERUS\Cerus,474.04,0.0,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=44 --time-ticks-at-unix-epoch=-1772583110005670 --launch-time-ticks=103163272258 --metrics-shmem-handle=7600,i,8363790686997905291,5510359042584758322,2097152 --field-trial-handle=1980,i,9464145493303808769,15672437013739108079,262144 --variations-seed-version=20260303-131140.536000-production --trace-process-track-uuid=3190709027541712850 --mojo-platform-channel-handle=8708 /prefetch:1",2026-03-04 21:51:13,37b8680ea07da14f25ad4c4af017dc5fe62397485aee8638a678afe434df30bb,,,,,,,,,N/A,0,SAFE,[]
14812,20224,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,CERUS\Cerus,431.3,0.0,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=45 --time-ticks-at-unix-epoch=-1772583110005670 --launch-time-ticks=103163277113 --metrics-shmem-handle=7472,i,7899736621570811630,9754280902583955185,2097152 --field-trial-handle=1980,i,9464145493303808769,15672437013739108079,262144 --variations-seed-version=20260303-131140.536000-production --trace-process-track-uuid=3190709028478754699 --mojo-platform-channel-handle=6096 /prefetch:1",2026-03-04 21:51:13,37b8680ea07da14f25ad4c4af017dc5fe62397485aee8638a678afe434df30bb,,,,,,,,,N/A,0,SAFE,[]
36496,20224,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,CERUS\Cerus,429.68,0.0,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=74 --time-ticks-at-unix-epoch=-1772583110005670 --launch-time-ticks=103202983451 --metrics-shmem-handle=13956,i,10212178731227846343,6669509938175096285,2097152 --field-trial-handle=1980,i,9464145493303808769,15672437013739108079,262144 --variations-seed-version=20260303-131140.536000-production --trace-process-track-uuid=3190709055652968320 --mojo-platform-channel-handle=13964 /prefetch:1",2026-03-04 21:51:52,37b8680ea07da14f25ad4c4af017dc5fe62397485aee8638a678afe434df30bb,,,,,,,,,N/A,0,SAFE,[]
28484,20224,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,CERUS\Cerus,368.02,0.0,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=gpu-process --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --metrics-shmem-handle=1800,i,10148480880984031021,3869368231405621770,262144 --field-trial-handle=1980,i,9464145493303808769,15672437013739108079,262144 --variations-seed-version=20260303-131140.536000-production --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1976 /prefetch:2",2026-03-04 21:48:08,37b8680ea07da14f25ad4c4af017dc5fe62397485aee8638a678afe434df30bb,,,,,,,,,N/A,0,SAFE,[]
45804,27200,Creative Cloud UI Helper.exe,C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe,CERUS\Cerus,352.79,0.0,"C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud UI Helper.exe --type=renderer --locales-dir-path=C:\Program Files\Common Files\Adobe\Adobe Desktop Common\CEF\locales --log-severity=warning --user-agent=Mozilla/5.0 (Windows NT 10.0.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.190 Safari/537.36 CreativeCloud/6.8.1.861 --user-data-dir=C:\Users\Cerus\AppData\Local\CEF\User Data --no-sandbox --autoplay-policy=no-user-gesture-required --log-file=C:\Users\Cerus\AppData\Local\Temp\CreativeCloud\ACC\CEF.log --js-flags=--expose-gc --lang=en-US --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1772583110004209 --launch-time-ticks=102993471015 --mojo-platform-channel-handle=3516 --field-trial-handle=2188,i,15295900603377844795,8515905127071290965,262144 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,DocumentPictureInPictureAPI /prefetch:1",2026-03-04 21:48:23,b59e5e33abb19fea72fddd2c155bf714a76c549b4c98c96a5726dfb4f1ce9a14,,,,,,,,,N/A,0,SAFE,[]
